x	y	z	u	v	w
-11.664063	-7.277307	0.412060650627396	-1.07461397885392	-2.01286315546006	0.186641480689535
-11.6798926162638	-17.3456191876795	0.743824942504518	1.38887428697924	-4.34703126598475	0.00513877602248606
-9.65576632270865	-27.7189266159823	1.00686627483991	2.00981988877605	-4.09710583812494	0.147294790985578
-3.0051048021486	-36.5637774224081	1.14535380030857	2.62705651753795	-3.73151804042483	0.111302299251739
4.16286132541083	-45.1448257953152	1.31784874106592	2.56491486642744	-3.77450190051896	0.0996064177088545
11.6702684456548	-53.0306591782285	1.39214668343387	4.3035319067879	-1.51830967138048	-0.026667381290283
22.6010493429902	-53.62800928166	1.27098465222147	5.64081760734347	0.849269663101789	-0.0251649230535507
32.8290539451016	-51.6987011060527	1.03514689407818	4.37749054538916	3.29035950112773	-0.0821592793798186
38.2141679830295	-43.4485204308789	0.815097610644168	0.513594116833647	4.07492317373257	-0.175150355724806
40.2718360042754	-33.1696162003114	0.0155977877090932	-0.567008056207772	4.52815131880152	-0.0259027280302949
35.2995642258908	-24.3053250247918	0.162351984029893	-1.78092560792217	4.2016612305502	0.113005643974372
29.2972110300892	-16.1138742414089	0.280971784504431	-1.54060335395145	4.29560175649111	0.213902057548787
23.3466702853787	-7.4442182287155	0.744132133142602	-1.52560667555504	3.31676682702402	0.209339944914819
14.4226647387145	-2.77085193179041	0.879896304146009	-4.3237891166562	1.45962337992632	-0.101518372480165
4.10714149365865	-1.44970352120924	0.708805566968427	-4.53848833251571	0.477259296416934	-0.198276895202835
