x	y
0	64.8798433461503
10	52.1295843867814
20	33.6634437636245
30	25.2527555337286
40	21.4100630903457
50	25.3684971599734
60	29.1522569059184
70	34.3397358970201
80	33.5537948683742
90	34.124100512996
100	29.1971976632412
110	25.6737691399101
120	26.4887637343551
130	19.8483622110235
140	13.8115895860117
150	10.3540872145856
160	7.16907392067617
170	3.98969961852007
180	3.19069943082837
190	1.32057511164911
200	1.45691582102715
210	1.49641627623212
220	1.45559404892608
230	1.71534263166456
240	1.9231309076535
250	1.69519255597649
260	2.13645577995738
270	1.68786804286925
280	1.8718730816672
290	1.92975477665488
300	1.52288355294065
310	1.63766237358597
320	1.56011547756959
330	1.60362118147621
340	1.50193832539431
350	1.64984341220446
360	1.43732886327967
370	1.45127569105826
380	1.40070425305106
390	1.51255654374459
400	1.44956666899687
400	0.046151887151551
390	0.0144740378492183
380	0.0386514449039967
370	0.0369990557376032
360	0.0283193425377046
350	0.0326319410898253
340	0.0647387167523459
330	0.0609014206464626
320	0.0367914577165439
310	0.0480802434857985
300	0.039108456752002
290	0.0242353714527284
280	0.0208759260589704
270	0.0401416254503682
260	0.0622203035805075
250	0.0685525158837932
240	0.0540337800940723
230	0.0272702761459177
220	0.0436948305066494
210	0.0467674307529367
200	0.0426091627415952
190	0.0567592611739172
180	0.0309287178838462
170	0.0173645425207823
160	0.0426287906922903
150	0.0333551460535453
140	0.0157210672564254
130	0.0123722335432912
120	0.0311605141390756
110	0.0504562483975335
100	0.0480042410644151
90	0.0788878905506858
80	0.0646105155829934
70	0.0541120431481323
60	0.104091602909421
50	0.0415461092340666
40	0.14315570232755
30	0.491851139267276
20	3.3987892463553
10	10.5853257826573
0	15.3186396397914
