x	y
0	0
10	0.0635793927383713
20	0.0879396739799031
30	0.133426130543071
40	0.227183062211144
50	0.0969159546735197
60	0.125538314051819
70	0.153199799562031
80	0.180455066064643
90	0.207809609384958
100	0.235736827711465
110	0.285231190551318
120	0.29520839600223
130	0.32777690519297
140	0.362976020780385
150	0.401337637289981
160	0.0510547142964874
170	0.0637814501876757
180	0.143689906747923
190	0.276955995351754
200	0.417437745454353
210	0.129317161881602
220	0.104798762131668
230	0.119034961361351
240	0.131745854032618
250	0.0593973523319073
260	0.119617170163285
270	0.153388285033933
280	0.230467148081057
290	0.314547397087911
300	0.0503261089248026
310	0.0511794223030568
320	0.048394065161423
330	0.0682411685675985
340	0.0656037985935649
350	0.0528451402823453
360	0.0488843016132359
370	0.0505070972696462
380	0.0527806582034831
390	0.0501202134798664
400	0.0508785718647644
400	1.93203943048559e-05
390	5.10344698589904e-06
380	4.50518928474253e-06
370	1.49167989835775e-05
360	1.01939173369203e-06
350	1.20368278890837e-05
340	8.92202415236909e-06
330	6.95154396002096e-06
320	1.61111485104115e-05
310	2.86616029843145e-06
300	3.43839358940556e-06
290	1.35828479788103e-05
280	2.42794560811888e-06
270	9.13006251046511e-07
260	2.89794387375863e-06
250	1.93526808294209e-05
240	1.21715572540815e-05
230	4.11614141393457e-06
220	5.00613759779611e-07
210	1.81116607622656e-06
200	1.89703371624717e-05
190	2.23518005926238e-06
180	1.02251956630717e-05
170	8.25005608318108e-06
160	2.13342410404493e-09
150	3.00185237733785e-06
140	2.94176930082379e-06
130	9.84518687174862e-06
120	3.55336984791954e-06
110	1.6417804838742e-05
100	5.35766205023158e-06
90	1.91080818903178e-05
80	1.00274971186476e-05
70	9.16528142647088e-06
60	4.12140843253361e-06
50	5.43542681463727e-06
40	2.7251893696123e-06
30	4.54414579585949e-05
20	1.1576156177695e-05
10	0
0	0
