x	y
0	0
10	0.0750168518359727
20	0.0694425145223982
30	0.0815602894593865
40	0.0674772203922734
50	0.0618405031329886
60	0.0608553618706484
70	0.0622711169173605
80	0.0562190449864901
90	0.0531090742089151
100	0.0506262835425251
110	0.0519295840061941
120	0.0532455553265179
130	0.0451155034026569
140	0.0414925538483015
150	0.0501647269304968
160	0.0587477200860838
170	0.0431568988148747
180	0.0646304164004483
190	0.0443720983474729
200	0.0455272857251008
210	0.0589378330905426
220	0.0689778302011637
230	0.0768111422368429
240	0.0624693364113051
250	0.0638652619279529
260	0.0800110426484486
270	0.072110158283007
280	0.0704110924991657
290	0.0567880258348445
300	0.0543850327491926
310	0.0629991852463103
320	0.058903233933008
330	0.056448499655632
340	0.0561393926258811
350	0.0546473687127742
360	0.0475700445933249
370	0.0509336145113837
380	0.0514729851696014
390	0.0478518109397257
400	0.0598430115431396
400	4.99605280346316e-06
390	5.43156939869505e-07
380	3.980012835747e-06
370	1.05979160380798e-06
360	7.9144378561935e-06
350	4.76230060630911e-06
340	4.45276954863516e-06
330	7.65693860316219e-07
320	4.32413426665335e-06
310	5.06201658545535e-06
300	4.58070406672562e-06
290	3.08362668732798e-08
280	1.37784256226681e-06
270	1.23560888320995e-06
260	7.19885637856521e-06
250	3.72269691428784e-06
240	4.41678881779595e-06
230	3.67291140657144e-06
220	1.01429650367635e-05
210	2.01858704507174e-06
200	2.57995000385591e-06
190	2.43552352197085e-05
180	1.03315455415309e-05
170	9.57159871828317e-06
160	1.17584233809698e-05
150	6.62563288678086e-07
140	1.97292843817642e-05
130	4.8523360351993e-07
120	1.98914916271775e-06
110	3.66286068587129e-06
100	9.4005594823976e-06
90	8.27048134877106e-06
80	8.82464794305093e-06
70	6.46723593566989e-07
60	1.1178094039388e-05
50	2.96643968225041e-05
40	1.53544058273392e-05
30	9.75674990361108e-06
20	8.65733660638385e-06
10	5.0963334490145e-06
0	0
